"@timestamp per 5 minutes","suricata.eve.event_type: Descending",Count
"12:55",flow,42
"12:55",fileinfo,22
"12:55",http,11
"13:00",flow,95
"13:00",fileinfo,56
"13:00",http,28
"13:05",flow,99
"13:05",fileinfo,54
"13:05",dns,28
"13:05",http,27
"13:05",ssh,1
"13:10",flow,191
"13:10",fileinfo,64
"13:10",http,37
"13:15",flow,596
"13:15",fileinfo,170
"13:15",http,114
"13:20",flow,499
"13:20",fileinfo,86
"13:20",http,60
"13:20",dhcp,1
"13:25",flow,591
"13:25",fileinfo,62
"13:25",http,35
"13:30",fileinfo,"2,035"
"13:30",http,"1,559"
"13:30",anomaly,645
"13:30",flow,535
"13:30",dns,12
"13:30",ssh,1
"13:30",tls,1
"13:35",fileinfo,"3,295"
"13:35",http,"2,625"
"13:35",anomaly,486
"13:35",dns,430
"13:35",flow,176
"13:35",tls,36
"13:40",fileinfo,"1,407"
"13:40",http,"1,205"
"13:40",anomaly,283
"13:40",flow,213
"13:40",dns,42
"13:40",dhcp,1
"13:45",fileinfo,"1,475"
"13:45",http,"1,340"
"13:45",flow,618
"13:45",dns,116
"13:45",anomaly,11
"13:50",fileinfo,"1,113"
"13:50",flow,"1,093"
"13:50",http,981
"13:50",anomaly,6
"13:55",flow,"2,120"
"13:55",fileinfo,967
"13:55",http,795
"13:55",anomaly,23
"13:55",ssh,2
"14:00",fileinfo,409
"14:00",http,329
"14:00",flow,274
"14:00",dns,6
"14:00",anomaly,5
"14:05",http,643
"14:05",fileinfo,616
"14:05",flow,251
"14:05",anomaly,23
"14:05",ssh,6
"14:05",dhcp,2
"14:10",ssh,"1,036"
"14:10",http,643
"14:10",fileinfo,624
"14:10",flow,593
"14:10",anomaly,27
"14:10",dns,12
"14:10",tls,1
"14:15",flow,"1,598"
"14:15",ssh,424
"14:15",fileinfo,196
"14:15",http,188
"14:15",anomaly,1
"14:20",flow,"1,145"
"14:20",fileinfo,233
"14:20",http,197
"14:20",dhcp,2
"14:20",ssh,2
"14:25",flow,378
"14:25",fileinfo,376
"14:25",http,319
"14:25",anomaly,4
"14:30",flow,"1,123"
"14:30",fileinfo,147
"14:30",http,100
"14:30",anomaly,1
"14:30",ssh,1
"14:35",fileinfo,541
"14:35",http,488
"14:35",flow,227
"14:35",anomaly,8
"14:35",ssh,2
"14:40",fileinfo,457
"14:40",http,425
"14:40",flow,307
"14:40",ssh,17
"14:40",dhcp,2
"14:45",flow,289
"14:45",fileinfo,263
"14:45",http,207
"14:45",anomaly,3
"14:50",flow,839
"14:50",fileinfo,219
"14:50",http,158
"14:50",anomaly,2
"14:50",dhcp,1
"14:55",flow,701
"14:55",fileinfo,155
"14:55",http,116
"14:55",dns,112
"14:55",ssh,10
"14:55",dhcp,2
"14:55",anomaly,1
"15:00",flow,209
"15:00",fileinfo,111
"15:00",http,72
"15:05",flow,186
"15:05",fileinfo,145
"15:05",http,119
"15:05",dhcp,2
"15:05",anomaly,1
"15:10",flow,"1,214"
"15:10",ssh,202
"15:10",fileinfo,144
"15:10",http,101
"15:10",dns,12
"15:10",dhcp,5
"15:10",tls,1
"15:15",flow,429
"15:15",fileinfo,287
"15:15",http,157
"15:15",ssh,40
"15:15",dhcp,6
"15:20",flow,308
"15:20",fileinfo,209
"15:20",http,120
"15:20",dns,12
"15:25",flow,318
"15:25",fileinfo,243
"15:25",http,163
"15:25",anomaly,55
"15:30",flow,290
"15:30",fileinfo,185
"15:30",http,149
"15:30",anomaly,15
"15:30",tls,11
"15:35",flow,297
"15:35",fileinfo,225
"15:35",http,138
"15:35",anomaly,6
"15:35",tls,1
"15:40",fileinfo,361
"15:40",flow,321
"15:40",http,237
"15:45",flow,379
"15:45",fileinfo,339
"15:45",http,223
"15:45",anomaly,72
"15:50",flow,502
"15:50",fileinfo,454
"15:50",http,282
"15:50",anomaly,54
"15:50",dhcp,2
"15:55",flow,207
"15:55",fileinfo,181
"15:55",http,100
