"@timestamp","host.name","suricata.eve.flow_id","source.ip","source.port","destination.ip","destination.port","source.geo.country_iso_code","destination.geo.country_iso_code"
"Oct 28, 2022 @ 16:12:02.064",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 16:11:56.050",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 16:11:49.030",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 16:11:48.031",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 16:11:48.031",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 16:10:26.948",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 16:10:17.941",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 16:10:12.927",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 16:10:12.022",soniot3,6012415533344,"192.168.28.53",5601,"192.168.28.15",57182,"-","-"
"Oct 28, 2022 @ 16:10:11.931",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 16:10:10.926",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 16:10:10.922",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 16:10:10.212",soniot3,6012415533344,"192.168.28.53",5601,"192.168.28.15",57182,"-","-"
"Oct 28, 2022 @ 16:10:09.219",soniot3,6012415533344,"192.168.28.53",5601,"192.168.28.15",57182,"-","-"
"Oct 28, 2022 @ 16:09:57.907",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 16:09:56.909",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 16:09:54.066",soniot3,6012415533344,"192.168.28.53",5601,"192.168.28.15",57182,"-","-"
"Oct 28, 2022 @ 16:09:53.906",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 16:09:53.899",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 16:09:52.130",soniot3,6012415533344,"192.168.28.53",5601,"192.168.28.15",57182,"-","-"
"Oct 28, 2022 @ 16:09:51.159",soniot3,6012415533344,"192.168.28.53",5601,"192.168.28.15",57182,"-","-"
"Oct 28, 2022 @ 16:09:37.870",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
"Oct 28, 2022 @ 16:09:36.068",soniot3,6012415533344,"192.168.28.53",5601,"192.168.28.15",57182,"-","-"
"Oct 28, 2022 @ 16:09:34.151",soniot3,6012415533344,"192.168.28.53",5601,"192.168.28.15",57182,"-","-"
"Oct 28, 2022 @ 16:09:23.855",soniot3,890672027308685,"127.0.0.1",9200,"127.0.0.1",53164,"-","-"
