timestamp,cpu,mem free,disk,eth
14:59:27,102,584M,2%,8%,8%
14:59:32,101,584M,7%,9%,9%
14:59:37,100,585M,5%,8%,8%
14:59:42,125,584M,5%,7%,7%
14:59:47,102,584M,3%,9%,9%
14:59:52,100,584M,4%,8%,8%
14:59:57,104,585M,3%,9%,9%
15:00:02,113,579M,2%,7%,7%
15:00:07,131,583M,3%,7%,7%
15:00:12,110,584M,2%,8%,8%
15:00:17,119,585M,4%,7%,7%
15:00:22,104,583M,14%,8%,8%
15:00:27,105,584M,11%,8%,8%
15:00:32,105,584M,3%,9%,9%
15:00:37,95,584M,5%,8%,8%
15:00:42,104,584M,3%,9%,9%
15:00:47,102,584M,5%,9%,9%
15:00:52,101,584M,2%,10%,10%
15:00:57,102,584M,5%,8%,8%
15:01:02,130,578M,7%,7%,7%
15:01:07,119,583M,2%,6%,6%
15:01:12,99,583M,5%,9%,9%
15:01:17,103,584M,7%,8%,8%
15:01:22,111,584M,2%,8%,8%
15:01:27,101,584M,5%,9%,9%
15:01:32,101,583M,4%,9%,9%
15:01:37,102,583M,2%,8%,8%
15:01:42,110,583M,7%,8%,8%
15:01:47,115,583M,3%,7%,7%
15:01:52,134,583M,8%,7%,7%
15:01:57,104,583M,5%,8%,8%
15:02:02,108,502M,2%,7%,7%
15:02:07,119,401M,23%,5%,5%
15:02:12,102,197M,54%,6%,6%
15:02:17,95,113M,57%,6%,6%
15:02:22,86,138M,96%,6%,6%
15:02:27,107,416M,64%,6%,6%
15:02:32,121,367M,4%,6%,6%
15:02:37,95,207M,51%,6%,6%
15:02:42,89,127M,56%,6%,6%
15:02:47,90,733M,61%,7%,7%
15:02:52,99,733M,2%,9%,9%
15:02:57,100,732M,2%,8%,8%
15:03:02,109,725M,4%,8%,8%
15:03:07,120,724M,6%,7%,7%
15:03:12,104,725M,16%,8%,8%
15:03:17,102,725M,3%,9%,9%
15:03:22,100,725M,5%,9%,9%
15:03:27,102,725M,4%,9%,9%
15:03:32,112,725M,4%,8%,8%
15:03:37,97,725M,4%,9%,9%
15:03:42,119,724M,3%,7%,7%
15:03:47,104,724M,2%,8%,8%
15:03:52,101,724M,6%,8%,8%
15:03:57,102,725M,4%,9%,9%
15:04:02,109,720M,5%,7%,7%
15:04:07,123,722M,4%,6%,6%
15:04:12,100,724M,5%,4%,4%
15:04:17,13,724M,8%,0%,0%
15:04:22,17,724M,3%,0%,0%
15:04:27,17,724M,6%,0%,0%
15:04:32,13,724M,5%,0%,0%
15:04:37,11,724M,2%,0%,0%
15:04:42,15,724M,6%,0%,0%
15:04:47,12,724M,3%,0%,0%
15:04:52,12,723M,3%,0%,0%
15:04:57,16,724M,3%,0%,0%
15:05:02,76,724M,1%,0%,0%
15:05:07,124,724M,9%,0%,0%
15:05:12,14,724M,4%,0%,0%
15:05:17,13,724M,4%,0%,0%
15:05:22,13,724M,5%,0%,0%
15:05:27,17,724M,4%,0%,0%
15:05:32,11,723M,4%,0%,0%
15:05:37,17,723M,5%,0%,0%
15:05:42,12,723M,7%,0%,0%
15:05:47,11,723M,2%,0%,0%
15:05:52,30,723M,3%,0%,0%
15:05:57,20,723M,3%,0%,0%
15:06:02,73,722M,6%,0%,0%
15:06:07,19,722M,3%,0%,0%
15:06:12,16,722M,6%,0%,0%
15:06:17,11,722M,4%,0%,0%
15:06:22,14,722M,5%,0%,0%
15:06:27,12,723M,5%,0%,0%
15:06:32,17,722M,3%,0%,0%
15:06:37,13,722M,6%,0%,0%
15:06:42,68,722M,3%,0%,0%
15:06:47,17,723M,5%,0%,0%
15:06:52,44,722M,5%,0%,0%
15:06:57,31,723M,2%,0%,0%
15:07:02,73,721M,6%,0%,0%
15:07:07,12,722M,5%,0%,0%
15:07:12,15,722M,4%,0%,0%
