timestamp,cpu,mem free,disk,eth
15:19:09,71,714M,6%,7%,7%
15:19:14,123,714M,1%,10%,10%
15:19:19,99,713M,3%,12%,12%
15:19:24,100,714M,5%,13%,13%
15:19:29,104,713M,3%,11%,11%
15:19:34,105,713M,5%,11%,11%
15:19:39,99,714M,5%,13%,13%
15:19:44,102,713M,2%,11%,11%
15:19:49,95,714M,4%,13%,13%
15:19:54,98,713M,4%,11%,11%
15:19:59,99,714M,4%,13%,13%
15:20:04,129,708M,3%,9%,9%
15:20:09,108,713M,2%,12%,12%
15:20:14,104,713M,2%,12%,12%
15:20:19,111,714M,2%,12%,12%
15:20:24,100,713M,3%,12%,12%
15:20:29,94,713M,2%,12%,12%
15:20:34,95,713M,15%,12%,12%
15:20:39,98,713M,3%,12%,12%
15:20:44,99,713M,4%,13%,13%
15:20:49,102,713M,3%,12%,12%
15:20:54,98,713M,5%,14%,14%
15:20:59,122,713M,4%,11%,11%
15:21:04,125,709M,2%,9%,9%
15:21:09,106,713M,2%,12%,12%
15:21:14,101,713M,9%,12%,12%
15:21:19,103,713M,5%,11%,11%
15:21:24,99,712M,8%,11%,11%
15:21:29,98,713M,1%,13%,13%
15:21:34,98,713M,4%,14%,14%
15:21:39,122,712M,3%,10%,10%
15:21:44,102,712M,3%,12%,12%
15:21:49,107,713M,5%,11%,11%
15:21:54,98,713M,5%,11%,11%
15:21:59,100,713M,2%,12%,12%
15:22:04,128,708M,2%,9%,9%
15:22:09,95,712M,2%,13%,13%
15:22:14,99,712M,3%,12%,12%
15:22:19,95,712M,9%,12%,12%
15:22:24,101,712M,6%,12%,12%
15:22:29,98,712M,2%,12%,12%
15:22:34,101,712M,5%,13%,13%
15:22:39,98,713M,5%,13%,13%
15:22:44,124,712M,2%,10%,10%
15:22:49,102,712M,2%,14%,14%
15:22:54,99,712M,1%,13%,13%
15:22:59,104,712M,10%,11%,11%
15:23:04,126,708M,3%,9%,9%
15:23:09,104,712M,4%,11%,11%
15:23:14,132,712M,6%,10%,10%
15:23:19,96,712M,1%,14%,14%
15:23:24,97,711M,11%,12%,12%
15:23:29,101,712M,4%,13%,13%
15:23:34,98,712M,3%,12%,12%
15:23:39,103,711M,5%,12%,12%
15:23:44,101,711M,3%,12%,12%
15:23:49,99,711M,4%,12%,12%
15:27:03,76,710M,9%,0%,0%
15:27:08,13,710M,3%,0%,0%
15:27:13,62,708M,5%,3%,3%
15:27:18,104,709M,3%,8%,8%
15:27:23,97,709M,5%,8%,8%
15:27:28,100,709M,1%,8%,8%
15:27:33,110,709M,5%,7%,7%
15:27:38,99,708M,4%,8%,8%
15:27:43,128,709M,2%,6%,6%
15:27:48,99,709M,1%,8%,8%
15:27:53,94,709M,1%,9%,9%
15:27:58,96,709M,1%,9%,9%
15:28:03,113,703M,1%,7%,7%
15:28:08,104,706M,14%,7%,7%
15:28:13,98,707M,1%,8%,8%
15:28:18,96,708M,8%,8%,8%
15:28:23,96,708M,5%,10%,10%
15:28:28,101,708M,3%,8%,8%
15:28:33,103,708M,4%,8%,8%
15:28:38,118,707M,4%,7%,7%
15:28:43,97,708M,4%,8%,8%
15:28:48,101,708M,5%,8%,8%
15:28:53,97,708M,3%,8%,8%
15:28:58,104,707M,2%,8%,8%
15:29:03,105,704M,1%,7%,7%
15:29:08,115,706M,10%,7%,7%
15:29:13,87,707M,2%,9%,9%
15:29:18,98,708M,4%,9%,9%
15:29:23,105,708M,5%,8%,8%
15:29:28,118,707M,5%,7%,7%
15:29:33,95,707M,3%,8%,8%
15:29:38,100,708M,5%,8%,8%
15:29:43,115,708M,2%,7%,7%
15:29:48,104,707M,6%,8%,8%
15:29:53,99,707M,1%,8%,8%
15:29:58,106,707M,1%,8%,8%
15:30:03,125,703M,12%,6%,6%
15:30:08,125,703M,1%,7%,7%
15:30:13,99,706M,5%,9%,9%
15:30:18,94,707M,4%,11%,11%
15:30:23,94,707M,2%,11%,11%
15:30:28,90,707M,6%,10%,10%
15:30:33,92,706M,1%,9%,9%
15:30:38,97,707M,2%,8%,8%
15:30:43,97,707M,7%,8%,8%
15:30:48,103,707M,7%,8%,8%
15:30:53,103,707M,4%,8%,8%
15:30:58,116,707M,5%,7%,7%
15:31:03,122,702M,1%,6%,6%
15:31:08,101,705M,1%,8%,8%
15:31:13,92,707M,2%,10%,10%
15:31:18,96,707M,2%,11%,11%
15:31:23,94,707M,3%,10%,10%
15:31:28,95,707M,3%,9%,9%
15:31:33,100,706M,16%,8%,8%
15:31:38,121,706M,3%,8%,8%
15:31:43,114,707M,2%,8%,8%
15:31:48,102,706M,2%,8%,8%
15:31:53,113,707M,7%,7%,7%
15:31:58,106,706M,3%,8%,8%
15:32:03,123,701M,7%,6%,6%
15:32:08,101,706M,4%,8%,8%
15:32:13,71,706M,3%,4%,4%
15:32:18,21,707M,2%,0%,0%
15:32:23,22,707M,10%,0%,0%
15:32:28,12,707M,5%,0%,0%
15:32:33,11,707M,4%,0%,0%
15:32:38,69,707M,4%,0%,0%
15:32:43,14,707M,6%,0%,0%
15:32:48,12,707M,3%,0%,0%
15:32:53,12,707M,2%,0%,0%
15:32:58,20,707M,4%,0%,0%
15:33:03,79,706M,8%,0%,0%
