timestamp,cpu,mem free,disk,eth
13:54:35,34,964M,7%,0%,0%
13:54:36,65,964M,3%,2%,2%
13:54:37,58,964M,5%,2%,2%
13:54:38,50,964M,5%,2%,2%
13:54:39,61,964M,5%,2%,2%
13:54:40,71,964M,9%,2%,2%
13:54:41,56,964M,9%,2%,2%
13:54:42,50,964M,9%,2%,2%
13:54:43,51,964M,9%,2%,2%
13:54:44,59,964M,9%,2%,2%
13:54:45,67,964M,4%,2%,2%
13:54:46,61,964M,4%,2%,2%
13:54:47,55,964M,4%,2%,2%
13:54:48,52,964M,4%,2%,2%
13:54:49,57,964M,4%,2%,2%
13:54:50,68,964M,8%,2%,2%
13:54:51,63,964M,6%,2%,2%
13:54:52,42,964M,6%,2%,2%
13:54:53,48,964M,6%,2%,2%
13:54:54,53,964M,6%,2%,2%
13:54:55,67,964M,6%,2%,2%
13:54:56,60,964M,6%,2%,2%
13:54:57,66,964M,8%,2%,2%
13:54:58,69,964M,8%,2%,2%
13:54:59,58,964M,8%,2%,2%
13:55:00,78,964M,8%,2%,2%
13:55:01,151,964M,8%,2%,2%
13:55:02,150,960M,8%,2%,2%
13:55:03,157,964M,4%,2%,2%
13:55:04,159,964M,4%,2%,2%
13:55:05,106,964M,15%,2%,2%
13:55:06,60,964M,1%,2%,2%
13:55:07,72,964M,1%,2%,2%
13:55:08,135,964M,1%,2%,2%
13:55:09,126,964M,10%,2%,2%
13:55:10,68,964M,10%,2%,2%
13:55:11,69,964M,10%,2%,2%
13:55:12,59,964M,10%,2%,2%
13:55:13,60,964M,10%,2%,2%
13:55:14,61,964M,3%,2%,2%
13:55:15,69,964M,3%,2%,2%
13:55:16,80,964M,4%,2%,2%
13:55:17,148,964M,4%,2%,2%
13:55:18,137,964M,8%,2%,2%
13:55:19,56,964M,8%,2%,2%
13:55:20,68,964M,8%,2%,2%
13:55:21,62,964M,5%,2%,2%
13:55:22,63,964M,5%,2%,2%
13:55:23,65,964M,3%,2%,2%
13:55:24,59,964M,3%,2%,2%
13:55:25,77,964M,3%,2%,2%
13:55:26,47,964M,7%,2%,2%
13:55:27,44,964M,7%,2%,2%
13:55:28,49,964M,7%,2%,2%
13:55:29,45,964M,6%,2%,2%
13:55:30,55,964M,6%,2%,2%
13:55:31,46,964M,4%,2%,2%
13:55:32,40,964M,5%,2%,2%
13:55:33,41,964M,5%,2%,2%
13:55:34,43,964M,5%,2%,2%
