timestamp,cpu,mem free,disk,eth
13:59:31,43,963M,0%,0%,0%
13:59:34,9,963M,6%,0%,0%
13:59:37,13,963M,6%,0%,0%
13:59:40,14,963M,6%,0%,0%
13:59:43,7,963M,2%,0%,0%
13:59:46,15,963M,2%,0%,0%
13:59:49,5,963M,2%,0%,0%
13:59:52,15,963M,1%,0%,0%
13:59:55,23,963M,2%,0%,0%
13:59:58,9,963M,3%,0%,0%
14:00:01,84,963M,1%,0%,0%
14:00:04,119,964M,11%,0%,0%
14:00:07,22,964M,11%,0%,0%
14:00:10,98,964M,3%,0%,0%
14:00:13,8,964M,3%,0%,0%
14:00:16,13,964M,1%,0%,0%
14:00:19,7,964M,5%,0%,0%
14:00:22,13,964M,5%,0%,0%
14:00:25,16,964M,1%,0%,0%
