timestamp,cpu,mem free,disk,eth
11:14:35,6,516M,0%
11:14:36,23,516M,7%,0%
11:14:37,15,516M,15%,0%
11:14:38,7,516M,15%,0%
11:14:39,7,516M,15%,0%
11:14:40,11,516M,17%,0%
11:14:41,24,516M,7%,0%
11:14:42,12,516M,7%,0%
11:14:43,9,516M,7%,0%
11:14:44,24,516M,7%,0%
11:14:45,12,516M,7%,0%
11:14:46,38,516M,9%,0%
11:14:47,55,515M,19%,2%
11:14:48,21,515M,19%,4%
11:14:49,19,515M,19%,4%
11:14:50,16,515M,9%,4%
11:14:51,35,515M,9%,4%
11:14:52,14,516M,9%,4%
11:14:53,15,515M,9%,4%
11:14:54,17,515M,9%,4%
11:14:55,14,515M,5%,4%
11:14:56,26,515M,11%,4%
11:14:57,18,515M,11%,4%
11:14:58,14,515M,11%,4%
11:14:59,13,515M,12%,4%
11:15:00,12,515M,4%,4%
11:15:01,36,515M,4%,4%
11:15:02,166,511M,11%,4%
11:15:03,172,514M,7%,4%
11:15:04,159,514M,4%,4%
11:15:05,24,514M,4%,4%
11:15:06,22,514M,9%,4%
11:15:07,19,514M,5%,4%
11:15:08,9,514M,5%,4%
11:15:09,12,514M,15%,4%
11:15:10,9,514M,15%,4%
11:15:11,96,515M,15%,4%
11:15:12,166,515M,12%,4%
11:15:13,96,515M,12%,4%
11:15:14,11,515M,12%,4%
11:15:15,10,515M,7%,4%
11:15:16,24,515M,7%,4%
11:15:17,14,515M,7%,4%
11:15:18,16,515M,7%,4%
11:15:19,13,515M,7%,4%
11:15:20,13,515M,4%,4%
11:15:21,40,515M,4%,4%
11:15:22,66,514M,30%,4%
11:15:23,11,515M,30%,4%
11:15:24,13,514M,30%,4%
11:15:25,11,514M,9%,4%
11:15:26,21,514M,9%,4%
11:15:27,15,514M,9%,4%
11:15:28,10,514M,11%,4%
11:15:29,16,514M,11%,4%
11:15:30,8,514M,11%,4%
11:15:31,23,514M,10%,4%
11:15:32,21,514M,3%,4%
11:15:33,16,514M,3%,4%
11:15:34,14,514M,9%,4%
11:15:35,11,514M,9%,4%
11:15:36,26,514M,9%,4%
11:15:37,21,514M,11%,4%
11:15:38,15,514M,10%,4%
11:15:39,44,514M,4%,4%
11:15:40,164,514M,4%,4%
11:15:41,90,513M,12%,4%
11:15:42,22,514M,12%,4%
11:15:43,11,514M,4%,4%
11:15:44,14,514M,12%,4%
11:15:45,27,514M,12%,4%
11:15:46,26,514M,12%,4%
11:15:47,15,514M,8%,1%
11:15:48,8,514M,5%,0%
11:15:49,6,513M,5%,0%
11:15:50,9,513M,10%,0%
11:15:51,25,514M,10%,0%
11:15:52,13,513M,10%,0%
11:15:53,8,513M,6%,0%
