timestamp,cpu,mem free,disk,eth
15:19:09,71,714M,6%,7%,7%
15:19:14,123,714M,1%,10%,10%
15:19:19,99,713M,3%,12%,12%
15:19:24,100,714M,5%,13%,13%
15:19:29,104,713M,3%,11%,11%
15:19:34,105,713M,5%,11%,11%
15:19:39,99,714M,5%,13%,13%
15:19:44,102,713M,2%,11%,11%
15:19:49,95,714M,4%,13%,13%
15:19:54,98,713M,4%,11%,11%
15:19:59,99,714M,4%,13%,13%
15:20:04,129,708M,3%,9%,9%
15:20:09,108,713M,2%,12%,12%
15:20:14,104,713M,2%,12%,12%
15:20:19,111,714M,2%,12%,12%
15:20:24,100,713M,3%,12%,12%
15:20:29,94,713M,2%,12%,12%
15:20:34,95,713M,15%,12%,12%
15:20:39,98,713M,3%,12%,12%
15:20:44,99,713M,4%,13%,13%
15:20:49,102,713M,3%,12%,12%
15:20:54,98,713M,5%,14%,14%
15:20:59,122,713M,4%,11%,11%
15:21:04,125,709M,2%,9%,9%
15:21:09,106,713M,2%,12%,12%
15:21:14,101,713M,9%,12%,12%
15:21:19,103,713M,5%,11%,11%
15:21:24,99,712M,8%,11%,11%
15:21:29,98,713M,1%,13%,13%
15:21:34,98,713M,4%,14%,14%
15:21:39,122,712M,3%,10%,10%
15:21:44,102,712M,3%,12%,12%
15:21:49,107,713M,5%,11%,11%
15:21:54,98,713M,5%,11%,11%
15:21:59,100,713M,2%,12%,12%
15:22:04,128,708M,2%,9%,9%
15:22:09,95,712M,2%,13%,13%
15:22:14,99,712M,3%,12%,12%
15:22:19,95,712M,9%,12%,12%
15:22:24,101,712M,6%,12%,12%
15:22:29,98,712M,2%,12%,12%
15:22:34,101,712M,5%,13%,13%
15:22:39,98,713M,5%,13%,13%
15:22:44,124,712M,2%,10%,10%
15:22:49,102,712M,2%,14%,14%
15:22:54,99,712M,1%,13%,13%
15:22:59,104,712M,10%,11%,11%
15:23:04,126,708M,3%,9%,9%
15:23:09,104,712M,4%,11%,11%
15:23:14,132,712M,6%,10%,10%
15:23:19,96,712M,1%,14%,14%
15:23:24,97,711M,11%,12%,12%
15:23:29,101,712M,4%,13%,13%
15:23:34,98,712M,3%,12%,12%
15:23:39,103,711M,5%,12%,12%
15:23:44,101,711M,3%,12%,12%
