timestamp,cpu,mem free,disk,eth
15:48:21,60,700M,3%,13%,13%
15:48:26,94,700M,7%,23%,23%
15:48:31,92,700M,3%,23%,23%
15:48:36,117,699M,6%,18%,18%
15:48:41,96,700M,3%,22%,22%
15:48:46,94,700M,5%,24%,24%
15:48:51,88,700M,3%,22%,22%
15:48:56,92,700M,2%,24%,24%
15:49:01,95,699M,8%,23%,23%
15:49:06,124,699M,3%,16%,16%
15:49:11,95,699M,8%,22%,22%
15:49:16,89,699M,4%,23%,23%
15:49:21,122,700M,4%,19%,19%
15:49:26,104,699M,6%,22%,22%
15:49:31,94,699M,3%,23%,23%
15:49:36,95,699M,5%,23%,23%
15:49:41,104,700M,3%,21%,21%
15:49:46,91,699M,5%,23%,23%
15:49:51,50,699M,4%,9%,9%
15:49:56,10,700M,3%,0%,0%
15:50:01,70,699M,5%,10%,10%
15:50:06,142,699M,2%,13%,13%
15:50:11,116,699M,11%,15%,15%
15:50:16,103,699M,2%,17%,17%
15:50:21,105,699M,4%,18%,18%
15:50:26,98,699M,4%,17%,17%
15:50:31,114,699M,5%,16%,16%
15:50:36,117,700M,7%,15%,15%
15:50:41,101,700M,3%,17%,17%
15:50:46,98,700M,3%,16%,16%
15:50:51,104,699M,6%,17%,17%
15:50:56,102,699M,2%,16%,16%
15:51:01,103,699M,4%,17%,17%
15:51:06,133,697M,5%,9%,9%
15:51:11,136,699M,6%,9%,9%
15:51:16,110,699M,3%,17%,17%
15:51:21,103,698M,3%,17%,17%
15:51:26,107,699M,8%,15%,15%
15:51:31,48,700M,2%,6%,6%
15:51:36,13,699M,5%,0%,0%
15:51:41,68,699M,2%,5%,5%
15:51:46,103,698M,4%,8%,8%
15:51:51,111,699M,5%,7%,7%
15:51:56,102,699M,2%,8%,8%
15:52:01,105,698M,5%,8%,8%
15:52:06,127,696M,6%,6%,6%
15:52:11,99,698M,4%,8%,8%
15:52:16,109,698M,5%,8%,8%
15:52:21,97,698M,3%,8%,8%
15:52:26,124,699M,6%,7%,7%
15:52:31,106,698M,2%,8%,8%
15:52:36,100,699M,4%,10%,10%
15:52:41,101,698M,1%,9%,9%
15:52:46,107,699M,7%,8%,8%
15:52:51,101,698M,5%,8%,8%
15:52:56,102,699M,3%,8%,8%
15:53:01,103,698M,4%,9%,9%
15:53:06,126,693M,5%,6%,6%
