timestamp,cpu,mem free,disk,eth
19:57:33,9,1033M,9%,0%,0%
19:57:34,159,1033M,9%,0%,0%
19:57:35,160,1033M,9%,0%,0%
19:57:36,8,1033M,4%,0%,0%
19:57:37,10,1033M,10%,0%,0%
19:57:38,7,1033M,5%,0%,0%
19:57:39,7,1033M,7%,0%,0%
19:57:40,30,1033M,7%,1%,1%
19:57:41,10,1033M,7%,2%,2%
19:57:42,13,1033M,9%,2%,2%
19:57:43,9,1033M,9%,2%,2%
19:57:44,8,1033M,9%,2%,2%
19:57:45,41,1033M,9%,2%,2%
19:57:46,7,1033M,9%,2%,2%
19:57:47,6,1033M,6%,2%,2%
19:57:48,2,1033M,6%,2%,2%
19:57:49,10,1033M,6%,2%,2%
19:57:50,102,1033M,6%,2%,2%
19:57:51,10,1033M,6%,2%,2%
19:57:52,6,1033M,6%,2%,2%
19:57:53,12,1033M,15%,2%,2%
19:57:54,5,1033M,15%,2%,2%
19:57:55,66,1033M,6%,2%,2%
19:57:56,7,1033M,6%,2%,2%
19:57:57,6,1033M,7%,2%,2%
19:57:58,8,1033M,6%,2%,2%
19:57:59,12,1033M,10%,2%,2%
19:58:00,157,1033M,10%,2%,2%
19:58:01,178,1033M,4%,2%,2%
19:58:02,134,1031M,14%,2%,2%
19:58:03,11,1032M,14%,2%,2%
19:58:04,10,1032M,14%,2%,2%
19:58:05,56,1032M,8%,2%,2%
19:58:06,12,1032M,8%,2%,2%
19:58:07,12,1032M,8%,2%,2%
19:58:08,14,1032M,8%,2%,2%
19:58:09,9,1032M,8%,2%,2%
19:58:10,104,1032M,5%,2%,2%
19:58:11,10,1032M,5%,2%,2%
19:58:12,10,1032M,5%,2%,2%
19:58:13,12,1032M,5%,2%,2%
19:58:14,7,1032M,5%,2%,2%
19:58:15,98,1032M,5%,2%,2%
19:58:16,10,1032M,5%,2%,2%
19:58:17,9,1032M,9%,2%,2%
19:58:18,9,1032M,6%,2%,2%
19:58:19,7,1032M,6%,2%,2%
19:58:20,50,1032M,6%,2%,2%
19:58:21,6,1031M,6%,2%,2%
19:58:22,4,1031M,6%,2%,2%
19:58:23,9,1032M,11%,2%,2%
19:58:24,6,1032M,11%,2%,2%
19:58:25,113,1031M,9%,2%,2%
19:58:26,10,1031M,9%,2%,2%
19:58:27,8,1032M,9%,2%,2%
19:58:28,6,1031M,19%,2%,2%
19:58:29,166,1031M,19%,2%,2%
19:58:30,177,1031M,19%,2%,2%
19:58:31,147,1031M,19%,2%,2%
19:58:32,7,1031M,19%,2%,2%
19:58:33,4,1031M,9%,2%,2%
19:58:34,11,1031M,6%,2%,2%
19:58:35,48,1031M,6%,2%,2%
19:58:36,14,1031M,6%,2%,2%
19:58:37,17,1031M,13%,2%,2%
19:58:38,12,1031M,8%,2%,2%
19:58:39,13,1031M,8%,2%,2%
19:58:40,34,1031M,8%,0%,0%
19:58:41,7,1031M,8%,0%,0%
19:58:42,8,1031M,8%,0%,0%
